cause,effect,surface,weight
running twenty six miles,exhaustion,Something that might happen as a consequence of [[running twenty six miles]] is [[exhaustion]],4.898979485566356
meeting people,making new friends,Sometimes [[meeting people]] causes [[making new friends]],4.898979485566356
masturbation,ejaculation,Something that might happen as a consequence of [[masturbation]] is [[ejaculation]],4.898979485566356
love,having sex,Something that might happen as a consequence of [[love]] is [[having sex]],4.898979485566356
sex,pregnancy,Sometimes [[sex]] causes [[pregnancy]],4.898979485566356
computing a sum,getting an answer,Something that might happen as a consequence of [[computing a sum]] is [[getting an answer]],4.898979485566356
living a life,happiness,Sometimes [[living a life]] causes [[happiness]],4.898979485566356
walking,exercise,The effect of [[walking]] is [[exercise]],4.898979485566356
falling,getting hurt,The effect of [[falling]] is [[getting hurt]],4.898979485566356
having a conversation,exchange of information,Something that might happen as a consequence of [[having a conversation]] is [[exchange of information]],4.47213595499958
playing games,winning,Something that might happen as a consequence of [[playing games]] is [[winning]],4.47213595499958
chewing your food,swallowing,The effect of [[chewing your food]] is [[swallowing]],4.47213595499958
helping someone,you feel good about yourself,The effect of [[helping someone]] is [[you feel good about yourself]],4.47213595499958
going to a play,being entertained,The effect of [[going to a play]] is [[being entertained]],4.47213595499958
taking a break,relaxation,Sometimes [[taking a break]] causes [[relaxation]],4.47213595499958
taking finals,stress,Something that might happen as a consequence of [[taking finals]] is [[stress]],4.47213595499958
surfing,drowning,Sometimes [[surfing]] causes [[drowning]],4.47213595499958
getting warm,sweating,Something that might happen as a consequence of [[getting warm]] is [[sweating]],4.47213595499958
eating breakfast in bed,crumbs in the bed,Sometimes [[eating breakfast in bed]] causes [[crumbs in the bed]],4.47213595499958
religion,war,Sometimes [[religion]] causes [[war]],4.47213595499958
taking a course,learning,The effect of [[taking a course]] is [[learning]],4.47213595499958
singing,happiness,Sometimes [[singing]] causes [[happiness]],4.47213595499958
watching the evening news,learn about current events,Sometimes [[watching the evening news]] causes you to [[learn about current events]],4.47213595499958
hearing singing,singing along,Something that might happen as a consequence of [[hearing singing]] is [[singing along]],4.47213595499958
applying for a job,rejection,Sometimes [[applying for a job]] causes [[rejection]],4.47213595499958
talking to someone,friendship,Something that might happen as a consequence of [[talking to someone]] is [[friendship]],4.47213595499958
going to a party,meet new people,The effect of [[going to a party]] is [[meet new people]],4.47213595499958
chewing your food,good digestion,The effect of [[chewing your food]] is [[good digestion]],4.47213595499958
obstructing justice,injustice,The effect of [[obstructing justice]] is [[injustice]],4.47213595499958
calculating things quickly,mistakes,Something that might happen as a consequence of [[calculating things quickly]] is [[mistakes]],4.47213595499958
mailing a letter,a reply,Something that might happen as a consequence of [[mailing a letter]] is [[a reply]],4.47213595499958
driving your car,getting somewhere,The effect of [[driving your car]] is [[getting somewhere]],4.47213595499958
setting a cup on a table,a spill,Sometimes [[setting a cup on a table]] causes [[a spill]],4.47213595499958
being in charge of a project,stress,Something that might happen as a consequence of [[being in charge of a project]] is [[stress]],4.47213595499958
entertaining people,pleasure,Sometimes [[entertaining people]] causes [[pleasure]],4.47213595499958
copulating,pregnancy,Sometimes [[copulating]] causes [[pregnancy]],4.47213595499958
hearing music,dancing,The effect of [[hearing music]] is [[dancing]],4.47213595499958
traveling,motion sickness,Sometimes [[traveling]] causes [[motion sickness]],4.47213595499958
lying,guilt,Something that might happen as a consequence of [[lying]] is [[guilt]],4.47213595499958
committing to memory,learning,Something that might happen as a consequence of [[committing to memory]] is [[learning]],4.47213595499958
committing perjury,go to jail,Sometimes [[committing perjury]] causes you to [[go to jail]],4.47213595499958
going see a film,enjoyment,Something that might happen as a consequence of [[going see a film]] is [[enjoyment]],4.47213595499958
chewing your food,better digestion,Sometimes [[chewing your food]] causes [[better digestion]],4.47213595499958
losing consciousness,a fall,Sometimes [[losing consciousness]] causes [[a fall]],4.47213595499958
playing sport,injuries,Sometimes [[playing sport]] causes [[injuries]],4.47213595499958
meeting girls,sex,Something that might happen as a consequence of [[meeting girls]] is [[sex]],4.47213595499958
adding up a column of numbers,sum,Sometimes [[adding up a column of numbers]] causes [[sum]],4.47213595499958
buying something for a loved one,you spend money,The effect of [[buying something for a loved one]] is [[you spend money]],4.47213595499958
bathing,be clean,Sometimes [[bathing]] causes you to [[be clean]],4.47213595499958
